Type,Matrix Size,Time (s),Cache References,Cache Misses,Cycles,Instructions,Accuracy
0,1000x1000,1.786437396999986,135534842,69646486,5349951841,8075724993,Pass
1,1000x1000,0.5985551189999967,125722146,57569999,1700683442,4094960591,Pass
2,1000x1000,1.3798087979999991,135249906,36786942,4560717684,8080437472,Pass
3,1000x1000,4.402660485000013,189642012,83155137,15083055821,9084711006,Pass
4,1000x1000,0.7004200920000017,128659451,49912793,2185200016,4096486955,Pass
5,1000x1000,4.599598157000003,210225792,64933478,15723083786,9084648862,Pass
0,2000x2000,20.606601343999984,1526307665,1016667358,71956856390,64310770990,Pass
1,2000x2000,4.082407574000001,956104589,864157580,13484252742,32370716886,Pass
2,2000x2000,13.412078570999995,1432897894,460556106,46821101733,64319081797,Pass
3,2000x2000,76.12598486200002,25766718944,1141652750,268551522166,72404465215,Pass
4,2000x2000,7.85996705499997,994485564,825995929,26816634143,32381039041,Pass
5,2000x2000,75.39354077099995,26665999884,1184877735,265857706165,72405034624,Pass
0,3000x3000,101.78563773299999,21846146980,3548592929,359208318972,216778720514,Pass
1,3000x3000,13.601659352000013,3423546361,3182557441,46383936886,108835747087,Pass
2,3000x3000,96.26809380100002,20926034707,2598253962,338424072622,216802179593,Pass
3,3000x3000,309.05949772199995,150107238303,4418792690,1094347302724,244109778300,Pass
4,3000x3000,28.562443109000014,3398380083,2975639846,95318429308,108863299923,Pass
5,3000x3000,308.4126838940001,151694491334,4458825908,1091063824240,244084325244,Pass
0,4000x4000,312.42296662700005,142939956556,12271056066,1107782832336,513563356799,Pass
1,4000x4000,32.33092214699991,7865896246,7614280166,111723485869,257494151132,Pass
2,4000x4000,306.8527815740001,162203997220,7989941335,1088751371532,513596427996,Pass
3,4000x4000,840.0303998399997,378557829239,21027279604,2873403063622,578456189686,Pass
4,4000x4000,66.59470116699958,7892875918,7207562430,230678244157,257557657771,Pass
5,4000x4000,803.9350430320001,391076032003,14641575646,2832257999532,578310996028,Pass
0,5000x5000,760.775740395,383755284127,21228625116,2678407571138,1002919196766,Pass
1,5000x5000,65.18613708500015,15187373767,14937976543,220314691427,502353833423,Pass
2,5000x5000,721.8208427660002,393188470083,15798661075,2522255646202,1002835834429,Pass
3,5000x5000,1881.547143965,824573793981,39451626164,6072239797503,1130120564179,Pass
4,5000x5000,140.12126990400066,15411085057,14418829256,462907966141,502481402981,Pass
5,5000x5000,2166.1319847530003,828341130628,38202703902,6099830007487,1130748338676,Pass
