# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 816397
#
# Samples: 1M of event 'task-clock'
# Event count (approx.): 1912561000000
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.97%    99.89%  main     main                  [.] matrixMultiplyJKI(double*, double*, double*, int, int, int)
            |          
             --99.87%--0
                       matrixMultiplyJKI(double*, double*, double*, int, int, int)

    99.95%     0.00%  main     [unknown]             [.] 0000000000000000
            |
            ---0
               |          
                --99.95%--matrixMultiplyJKI(double*, double*, double*, int, int, int)

     0.04%     0.00%  main     [kernel.kallsyms]     [k] irq_exit_rcu
     0.04%     0.00%  main     [kernel.kallsyms]     [k] __irq_exit_rcu
     0.04%     0.02%  main     [kernel.kallsyms]     [k] __do_softirq
     0.04%     0.00%  main     [kernel.kallsyms]     [k] asm_exc_page_fault
     0.04%     0.00%  main     [kernel.kallsyms]     [k] exc_page_fault
     0.04%     0.00%  main     [kernel.kallsyms]     [k] asm_common_interrupt
     0.04%     0.00%  main     [kernel.kallsyms]     [k] common_interrupt
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_user_addr_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] handle_mm_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] __handle_mm_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] handle_pte_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] do_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] do_read_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] __do_fault
     0.03%     0.00%  main     [kernel.kallsyms]     [k] filemap_fault
     0.02%     0.00%  main     [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  main     [kernel.kallsyms]     [k] do_syscall_64
     0.02%     0.00%  main     [kernel.kallsyms]     [k] filemap_read_folio
     0.02%     0.00%  main     [unknown]             [.] 0x41680e86ef087252
     0.02%     0.00%  main     [kernel.kallsyms]     [k] schedule
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __schedule
     0.02%     0.02%  main     [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.02%     0.00%  main     [kernel.kallsyms]     [k] ext4_read_folio
     0.02%     0.00%  main     [kernel.kallsyms]     [k] ext4_mpage_readpages
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_done_softirq
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_complete_reqs
     0.01%     0.00%  main     [kernel.kallsyms]     [k] scsi_complete
     0.01%     0.00%  main     libc.so.6             [.] __GI___writev
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_writev
     0.01%     0.00%  main     [kernel.kallsyms]     [k] do_writev
     0.01%     0.00%  main     [kernel.kallsyms]     [k] vfs_writev
     0.01%     0.00%  main     [kernel.kallsyms]     [k] do_iter_write
     0.01%     0.00%  main     [kernel.kallsyms]     [k] do_iter_readv_writev
     0.01%     0.00%  main     [kernel.kallsyms]     [k] ext4_file_write_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] ext4_buffered_write_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] submit_bio_noacct
     0.01%     0.00%  main     [kernel.kallsyms]     [k] generic_perform_write
     0.01%     0.00%  main     [kernel.kallsyms]     [k] submit_bio
     0.01%     0.00%  main     [kernel.kallsyms]     [k] submit_bio_noacct_nocheck
     0.01%     0.00%  main     [kernel.kallsyms]     [k] scsi_finish_command
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __submit_bio
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_submit_bio
     0.01%     0.00%  main     [kernel.kallsyms]     [k] scsi_io_completion
     0.01%     0.00%  main     [kernel.kallsyms]     [k] scsi_end_request
     0.01%     0.00%  main     [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.01%     0.00%  main     [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.01%     0.00%  main     [kernel.kallsyms]     [k] irqentry_exit
     0.01%     0.00%  main     [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.01%     0.00%  main     [kernel.kallsyms]     [k] exit_to_user_mode_loop
     0.01%     0.00%  main     [kernel.kallsyms]     [k] io_schedule
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_get_new_requests
     0.01%     0.01%  main     [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_alloc_requests
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_get_tag
     0.01%     0.00%  main     libc.so.6             [.] read
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_read
     0.01%     0.00%  main     [kernel.kallsyms]     [k] ksys_read
     0.01%     0.00%  main     [kernel.kallsyms]     [k] vfs_read
     0.01%     0.00%  main     [kernel.kallsyms]     [k] ext4_file_read_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] generic_file_read_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] filemap_read
     0.01%     0.00%  main     [kernel.kallsyms]     [k] copy_page_to_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_run_hw_queue
     0.01%     0.00%  main     [kernel.kallsyms]     [k] _copy_to_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] copyout
     0.01%     0.00%  main     [kernel.kallsyms]     [k] blk_update_request
     0.01%     0.00%  main     [kernel.kallsyms]     [k] bio_endio
     0.01%     0.00%  main     [kernel.kallsyms]     [k] mpage_end_io
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __filemap_get_folio
     0.01%     0.00%  main     [kernel.kallsyms]     [k] run_rebalance_domains
     0.01%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_write_begin
     0.01%     0.00%  main     [kernel.kallsyms]     [k] __read_end_io
     0.01%     0.00%  main     [kernel.kallsyms]     [k] folio_wait_bit_common
     0.00%     0.00%  main     [kernel.kallsyms]     [k] kblockd_mod_delayed_work_on
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_delay_run_hw_queue
     0.00%     0.00%  main     [kernel.kallsyms]     [k] mod_delayed_work_on
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_anonymous_page
     0.00%     0.00%  main     [kernel.kallsyms]     [k] _raw_spin_unlock_irq
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_write_end
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_unlock
     0.00%     0.00%  main     [kernel.kallsyms]     [k] generic_write_end
     0.00%     0.00%  main     [unknown]             [k] 0x7282739d9148c20f
     0.00%     0.00%  main     [unknown]             [k] 0x0000000000000017
     0.00%     0.00%  main     libc.so.6             [.] __memset_evex_unaligned_erms
     0.00%     0.00%  main     [kernel.kallsyms]     [k] rebalance_domains
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __filemap_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_wake_bit
     0.00%     0.00%  main     [kernel.kallsyms]     [k] scsi_run_queue_async
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_end_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] update_blocked_averages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_run_hw_queues
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __mark_inode_dirty
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_free_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_block_write_begin
     0.00%     0.00%  main     libc.so.6             [.] __munmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_munmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __vm_munmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_vmi_munmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] do_vmi_align_munmap
     0.00%     0.00%  main     [kernel.kallsyms]     [k] unmap_region
     0.00%     0.00%  main     [kernel.kallsyms]     [k] unmap_vmas
     0.00%     0.00%  main     [kernel.kallsyms]     [k] unmap_single_vma
     0.00%     0.00%  main     [kernel.kallsyms]     [k] unmap_page_range
     0.00%     0.00%  main     [kernel.kallsyms]     [k] zap_pmd_range.isra.0
     0.00%     0.00%  main     [kernel.kallsyms]     [k] ext4_dirty_inode
     0.00%     0.00%  main     [kernel.kallsyms]     [k] get_page_from_freelist
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_free_request
     0.00%     0.00%  main     [kernel.kallsyms]     [k] task_work_run
     0.00%     0.00%  main     [kernel.kallsyms]     [k] load_balance
     0.00%     0.00%  main     [kernel.kallsyms]     [k] task_mm_cid_work
     0.00%     0.00%  main     [kernel.kallsyms]     [k] blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]     [k] __blk_mq_sched_dispatch_requests
     0.00%     0.00%  main     [kernel.kallsyms]     [k] charge_memcg
     0.00%     0.00%  main     [kernel.kallsyms]     [k] copy_page_from_iter_atomic
     0.00%     0.00%  main     [kernel.kallsyms]     [k] folio_add_lru
     0.00%     0.00%  main     [kernel.kallsyms]     [k] alloc_pages
     0.00%     0.00%  main     [kernel.kallsyms]     [k] zap_pte_range
     0.00%     0.00%  main     [kernel.kallsyms]     [k] filemap_alloc_folio
     0.00%     0.00%  main     [kernel.kallsyms]     [k] copyin
